"ad,fiyat,cl"
"GARRONE PROSECCO 75CL,1318.7893081761,75"
"GARRONE SPRITZ 100CL,1318.7893081761,100"
"GARRONE SPRITZ 100CL,1318.7893081761,100"
"GARRONE CHERRY 100CL,1318.7893081761,100"
"GARRONE COCONUT 100CL,1318.7893081761,100"
"GARRONE DOLCEVITA  75CL,713.443396226415,75"
"LIMONCELLO 100CL,1145.83333333333,100"
"LIMONCELLO 100CL,1145.83333333333,100"
"CACHACA 70CL,1362.02830188679,70"
"SOHO LITCHI 70CL,1145.83333333333,70"
"LILLET ROSE  75CL,1037.7358490566,75"
"LILLET BLANC 75CL,1037.7358490566,75"
"MAISON SAINTE MARGUERITE  SYMPHONIE ROSE 75CL,2032.23270440252,75"
"MAISON SAINTE MARGUERITE SYMPHONIE ROSE 150CL,4064.46540880503,150"
"HAVANA CLB ANEJO 3 ANOS 70CL,1362.02830188679,70"
"HAVANA CLB ANEJO 3 ANOS 5CL,155.660377358491,5"
"HAVANA CLUB 7 YO 70CL,1816.03773584906,70"
"HAVANA CLB SLECCION DE MAESTROS 70CL,2940.25157232704,70"
"HAVANA CLUB UNION 70CL,12971.6981132075,70"
"BUMBU THE ORIGINAL  70CL,1924.13522012579,70"
"BUMBU XO  70CL,2248.42767295598,70"
"OJO DE TIGRE JOVEN  70CL,2464.62264150943,70"
"OJO DE TIGRE REPOSADO  70CL,2897.01257861635,70"
"DEL MAGUEY VIDA 70CL,3156.4465408805,70"
"OLMECA ALTOS REPOSADO 70CL,1729.55974842767,70"
"OLMECA ALTOS REPOSADO 70CL,1729.55974842767,70"
"OLMECA GOLD 70CL,1297.16981132075,70"
"OLMECA GOLD 35CL,704.795597484277,35"
"OLMECA GOLD 35CL,704.795597484277,35"
"OLMECA GOLD 70CL,1297.16981132075,70"
"OLMECA GOLD 70CL,1297.16981132075,70"
"OLMECA GOLD 70CL,1297.16981132075,70"
"OLMECA GOLD 35CL,704.795597484277,35"
"OLMECA GOLD 70CL,1297.16981132075,70"
"OLMECA SILVER 70CL,1206.3679245283,70"
"OLMECA SILVER 50CL,920.990566037736,50"
"OLMECA SILVER 50CL,920.990566037736,50"
"OLMECA SILVER 50CL,920.990566037736,50"
"OLMECA SILVER 50CL,920.990566037736,50"
"OLMECA SILVER 35CL,648.584905660377,35"
"OLMECA SILVER 35CL,648.584905660377,35"
"OLMECA SILVER 35CL,648.584905660377,35"
"OLMECA SILVER 70CL,1206.3679245283,70"
"OLMECA SILVER 70CL,1206.3679245283,70"
"OLMECA SILVER 70CL,1206.3679245283,70"
"OLMECA SILVER 70CL,1206.3679245283,70"
"OLMECA SILVER 70CL,1206.3679245283,70"
"OLMECA SILVER 70CL,1206.3679245283,70"
"OLMECA SILVER 100CL,1664.70125786164,100"
"OLMECA SILVER 100CL,1664.70125786164,100"
"OLMECA SILVER 100CL,1664.70125786164,100"
"OLMECA ALTOS PLATA 70CL,1578.22327044025,70"
"OLMECA ALTOS PLATA 70CL,1578.22327044025,70"
"OLMECA ALTOS PLATA 70CL,1578.22327044025,70"
"OLMECA DARK CHOCOLATE 70CL,1080.9748427673,70"
"OLMECA DARK CHOCOLATE 70CL,1080.9748427673,70"
"OLMECA DARK CHOCOLATE 12/70 70CL,1080.9748427673,70"
"MARTELL VS 70CL,2464.62264150943,70"
"MARTELL VS 70CL,2464.62264150943,70"
"MARTELL VS 96/5 5CL,285.377358490566,5"
"MARTELL VSOP 70CL,3242.92452830189,70"
"MARTELL VSOP RB 70CL,3242.92452830189,70"
"MARTELL XO 70CL,10161.1635220126,70"
"RICARD 70CL,1232.31132075472,70"
"RAMAZZOTTI APERATIVO 100CL,929.638364779874,100"
"RAMAZZOTTI AMARO 100CL,1383.64779874214,100"
"RAMAZZOTTI SAMBUCA 70CL,1383.64779874214,70"
"TR?PLE SEC DU ORANGE  100CL,1945.75471698113,100"
"TR?PLE SEC DU ORANGE  100CL,1945.75471698113,100"
"WYBOROWA 70CL,843.160377358491,70"
"WYBOROWA 70CL,843.160377358491,70"
"WYBOROWA 50CL,622.641509433962,50"
"WYBOROWA 50CL,622.641509433962,50"
"WYBOROWA 70CL,843.160377358491,70"
"WYBOROWA 100CL,1180.42452830189,100"
"WYBOROWA 35CL,449.685534591195,35"
"WYBOROWA 20CL,298.349056603774,20"
"WYBOROWA 100CL,1180.42452830189,100"
"ABSOLUT  BLUE VODKA 5CL,168.632075471698,5"
"ABSOLUT  BLUE VODKA 35CL,618.317610062893,35"
"ABSOLUT  BLUE VODKA 70CL,1145.83333333333,70"
"ABSOLUT VODKA EOY24 70CL,1145.83333333333,70"
"ABSOLUT  BLUE VODKA 70CL,1145.83333333333,70"
"ABSOLUT  BLUE VODKA 70CL,1145.83333333333,70"
"ABSOLUT  BLUE VODKA 100CL,1556.60377358491,100"
"ABSOLUT  BLUE VODKA 20CL,367.531446540881,20"
"ABSOLUT  BLUE VODKA 50CL,843.160377358491,50"
"ABSOLUT  BLUE VODKA 450CL,6291.27358490566,450"
"ABSOLUT  BLUE VODKA 150CL,2097.09119496855,150"
"ABSOLUT  BLUE VODKA 175CL,2810.53459119497,175"
"ABSOLUT MANDRIN 70CL,1145.83333333333,70"
"ABSOLUT MANDRIN 70CL,1145.83333333333,70"
"ABSOLUT RASBERRY 70CL,1145.83333333333,70"
"ABSOLUT RASBERRY 70CL,1145.83333333333,70"
"ABSOLUT RASBERRY 70CL,1145.83333333333,70"
"ABSOLUT RASPBERRI VODKA 38% 70CL,1145.83333333333,70"
"ABSOLUT VANILIA 70CL,1145.83333333333,70"
"ABSOLUT VANILIA 70CL,1145.83333333333,70"
"ABSOLUT VANILIA 70CL,1145.83333333333,70"
"ABSOLUT  APEACH 70CL,1145.83333333333,70"
"ABSOLUT PEARS 70CL,1145.83333333333,70"
"ABSOLUT PEARS 70CL,1145.83333333333,70"
"ABSOLUT CITRON 70CL,1145.83333333333,70"
"ABSOLUT CITRON 70CL,1145.83333333333,70"
"ABSOLUT ORIENT APPLE 70CL,1145.83333333333,70"
"ABSOLUT RUBY RED VODKA 70CL,1145.83333333333,70"
"ABSOLUT LIME VODKA  70CL,1145.83333333333,70"
"ABSOLUT EXTRAKT 70CL,1145.83333333333,70"
"ABSOLUT ELYX VODKA 70CL,2226.80817610063,70"
"ABSOLUT ELYX VODKA 150CL,4799.52830188679,150"
"ABSOLUT ELYX VODKA 300CL,8647.79874213837,300"
"ABSOLUT ELYX VODKA 450CL,12971.6981132075,450"
"AVION SILVER  70CL,2421.38364779874,70"
"AVION REPOSADO 70CL,2680.81761006289,70"
"AVION ANEJO 70CL,2897.01257861635,70"
"AVION 44 RESERVA  70CL,11674.5283018868,70"
"AVION CRISTALINO 70CL,12971.6981132075,70"
"CODIGO ROSA  70CL,2226.80817610063,70"
"CODIGO BLANCO  70CL,1945.75471698113,70"
"CODIGO REPOSADO 70CL,2226.80817610063,70"
"CODIGO ANEJO 70CL,2551.10062893082,70"
"CODIGO ROSA 175CL,5621.06918238994,175"
"LUKSUSOWA 12/70  70CL,843.160377358491,70"
"LUKSUSOWA 12/35 35CL,449.685534591195,35"
"LUKSUSOWA VODKA  100CL,1180.42452830189,100"
